R_name,R_rating,location
Eleven Lounge Cafe,5.0,Nainital
Old SherePunjab Restaurant,4.5,Nainital
Mantra Cafe,5.0,Nainital
Dekevas Restaurant,4.5,Darjeeling
Sonams Kitchen,4.5,Darjeeling
Tom Jerrys,4.5,Darjeeling
Kunga Restaurant,4.5,Darjeeling
Gattys Cafe,4.5,Darjeeling
Himalayan Coffee,4.5,Darjeeling
Nathmull Tea,4.5,Darjeeling
Hotel Lunnar,4.0,Darjeeling
Glenarys,4.0,Darjeeling
Keventers,4.0,Darjeeling
Hot Stimulating Cafe,4.5,Darjeeling
The Park Restaurant,4.0,Darjeeling
Hasty Tasty,3.5,Darjeeling
Nom Nom Bakery Cafe,4.5,Darjeeling
Nawangs Restaurant,4.5,Darjeeling
SuzAms Cafe n kitchen,5.0,Darjeeling
Golden Tips Tea Cosy,4.0,Darjeeling
Boneys Snack Bar,4.5,Darjeeling
The Junction,4.5,Darjeeling
shangrila,3.5,Darjeeling
Sunset Lounge the tea bar,4.5,Darjeeling
Cinnamon restaurant,4.0,Darjeeling
Goodricke the House of Tea,4.5,Darjeeling
The Orchid Dining Room,4.5,Darjeeling
KFC,4.0,Darjeeling
Lazeez Affaire,4.5,Darjeeling
Cafe Coffee Day,4.0,Darjeeling
Penang Restaurant Since,4.0,Darjeeling
Nanking restaurant,4.5,Darjeeling
Nanglo Cafe,5.0,Darjeeling
Amara,5.0,Hyderabad
Kebabs Kurries,5.0,Hyderabad
Deccan Pavilion,5.0,Hyderabad
Mekong,5.0,Hyderabad
Bidri,5.0,Hyderabad
Ottimo Cucina Italiana,5.0,Hyderabad
Feast,5.0,Hyderabad
Mist The Poolside Kitchen,5.0,Hyderabad
Yi Jing,5.0,Hyderabad
Dum Pukht Begums,5.0,Hyderabad
Golconda Pavilion,5.0,Hyderabad
Altitude Lounge Bar,5.0,Hyderabad
Jewel of Nizam The Minar,4.5,Hyderabad
Dakshin,5.0,Hyderabad
Kanak,5.0,Hyderabad
MoMo Cafe,5.0,Hyderabad
Jewel Of Nizam,4.5,Hyderabad
Zega,5.0,Hyderabad
Okra,5.0,Hyderabad
Saffron Soul,5.0,Hyderabad
Prego,4.5,Hyderabad
Kangan,4.5,Hyderabad
Indus Coffee Shop MultiCuisine Restaurant,5.0,Hyderabad
Mazzo,5.0,Hyderabad
Ohm,4.5,Hyderabad
TreForni,4.5,Hyderabad
Barbeque Nation,4.5,Hyderabad
Bawarchi,4.5,Hyderabad
Absolute Barbecues Jubilee Hills Hyderabad,4.5,Hyderabad
Casbah,5.0,Hyderabad
VARR Temple Food of India,5.0,Rishikesh
JAL JALEBI Beyond,5.0,Rishikesh
The Arches By Salvus,5.0,Rishikesh
Sitting Elephant,4.5,Rishikesh
Las Brisas,5.0,Rishikesh
Iras kitchen Tea Room,5.0,Rishikesh
Chatsang cafe,4.5,Rishikesh
Shivanis Cafe,5.0,Rishikesh
Ganga View Cafe,4.5,Rishikesh
The s Cafe The Beatles,4.5,Rishikesh
The FoodLoft,5.0,Rishikesh
Pure Soul Cafe Organic Kitchen,4.5,Rishikesh
Free Spirit cafe,4.5,Rishikesh
Bistro Nirvana,4.5,Rishikesh
A Tavola Con r,4.5,Rishikesh
Cafe Amrit Ganga,5.0,Rishikesh
Cafe Karma,4.5,Rishikesh
Vjs By The Ganges,5.0,Rishikesh
Cafe Power Of Thoughts The Best Ganga View Of Rishikesh,5.0,Rishikesh
Pundir General Store and Tattv Restaurant,4.5,Rishikesh
The Big Fiddler,5.0,Rishikesh
Mango Tree Garden,5.0,Rishikesh
Soul Kitchen Rishikesh,4.5,Rishikesh
Madras Cafe,4.0,Rishikesh
Mamma Mia Inn,5.0,Rishikesh
Little Buddha Cafe,4.0,Rishikesh
Latitude,4.5,Rishikesh
Rise and Shine Vegan Food,5.0,Rishikesh
The Pyramid Cafe GuestHouse,4.5,Rishikesh
Oasis Cafe by Salvus,4.5,Rishikesh
